title,budget,gross,imdb_score,meta_score,opening_weekend,rated,release_date,run_time,max_meta_actor_score,min_meta_actor_score,sum_max_meta_actor_score,sum_min_meta_actor_score,avg_meta_high_actor_score,avg_meta_avg_actor_score,max_user_actor_score,min_user_actor_score,sum_max_user_actor_score,sum_min_user_actor_score,avg_user_high_actor_score,avg_user_median_actor_score,max_meta_director_score,min_meta_director_score,sum_max_meta_director_score,sum_min_meta_director_score,avg_meta_high_director_score,avg_meta_avg_director_score,max_user_director_score,min_user_director_score,sum_max_user_director_score,sum_min_user_director_score,avg_user_high_director_score,avg_user_median_director_score,max_meta_writer_score,min_meta_writer_score,sum_max_meta_writer_score,sum_min_meta_writer_score,avg_meta_high_writer_score,avg_meta_avg_writer_score,max_user_writer_score,min_user_writer_score,sum_max_user_writer_score,sum_min_user_writer_score,avg_user_high_writer_score,avg_user_median_writer_score
Lambert & Stamp,0,182851,6.5,75,13500,R,03/04/2015,117,79,54,229,204,76.3333,73,7,5,17,15,5.6667,5.3333,75,75,75,75,75,75,5,5,5,5,5,5,,,,,,,,,,,,
Land Ho!,0,727430,5.9,68,34319,R,11/07/2014,95,71,30,275,196,68.75,59,8,5,28,23,7,7,85,30,153,71,76.5,55.5,8,4,15,10,7.5,6,85,30,153,71,76.5,55.5,8,4,15,10,7.5,6
Land of Mine,0,434640,7.8,75,13754,R,09/12/2016,100,82,35,382,288,76.4,68.6,8,5,40,34,8,7.8,75,58,75,58,75,68,8,7,8,7,8,7,75,58,75,58,75,68,8,7,8,7,8,7
Last Days in the Desert,0,0,5.6,67,0,PG-13,13/05/2016,98,85,27,235,126,78.3333,60.3333,9,1,23,13,7.6667,6.6667,96,40,96,40,96,66,8,6,8,6,8,6,96,40,96,40,96,66,8,6,8,6,8,6
Last Knights,40000000,0,6.2,27,0,R,03/04/2015,115,89,18,348,148,87,63.25,9,1,35,16,8.75,7.25,27,27,27,27,27,27,7,7,7,7,7,7,67,27,94,54,47,37,7,7,14,14,7,7
Last Passenger,2500000,9326,5.8,66,9326,R,25/04/2014,97,88,26,356,183,71.2,56.2,9,3,41,24,8.2,6.8,66,31,66,31,66,49,6,6,6,6,6,6,66,31,132,97,66,57.5,6,6,12,12,6,6
Last Weekend,0,6120,5.4,40,3492,,29/08/2014,94,84,19,290,112,72.5,51.25,10,2,35,14,8.75,6.75,98,40,143,85,71.5,58.5,8,5,14,11,7,7,98,40,98,40,98,72,8,5,8,5,8,8
Late Phases,0,0,6,51,0,,21/11/2014,95,82,19,363,167,72.6,52.6,9,3,41,21,8.2,6.8,60,43,60,43,60,51,8,5,8,5,8,5,51,51,51,51,51,51,5,5,5,5,5,5
Lazer Team,2480421,1149878,5.6,42,108586,PG-13,27/01/2016,102,64,33,155,117,51.6667,45.6667,7,5,21,19,7,7,,,,,,,,,,,,,,,,,,,,,,,,
Le Chef,0,342667,6.6,43,11290,PG-13,20/06/2014,84,75,14,269,143,67.25,51.5,9,1,30,19,7.5,6.75,74,43,74,43,74,53,9,6,9,6,9,8,74,43,147,86,73.5,56,9,5,17,11,8.5,7.5
Le Week-End,10000000,2223380,6.3,73,43608,R,14/03/2014,93,90,12,397,241,79.4,66.2,10,3,41,29,8.2,7.2,82,55,82,55,82,67,9,6,9,6,9,7,82,69,82,69,82,74,8,7,8,7,8,8
Learning to Drive,0,3446820,6.4,59,66015,R,21/08/2015,90,93,18,383,131,76.6,53,10,1,46,16,9.2,6.8,68,57,68,57,68,63,9,7,9,7,9,7,60,50,60,50,60,55,8,7,8,7,8,7
Left Behind,16000000,13998282,3.1,12,6300147,PG-13,03/10/2014,110,85,12,294,60,58.8,35.2,10,2,35,14,7,5.6,,,,,,,,,,,,,68,12,90,24,45,25.5,5,3,10,6,5,4.5
Legend,30000000,1865774,7,55,86836,R,20/11/2015,132,94,22,418,204,83.6,63,9,3,44,23,8.8,7.4,,,,,,,,,,,,,39,39,39,39,39,39,8,8,8,8,8,8
Legends of Oz: Dorothys Return,70000000,8460990,5.6,25,3715931,PG,09/05/2014,88,88,20,351,111,70.2,43.4,9,2,39,20,7.8,6.4,58,25,109,50,54.5,42,7,5,13,11,6.5,6,25,25,50,50,25,25,6,6,12,12,6,6
Lets Be Cops,17000000,82389560,6.5,30,17813722,R,13/08/2014,104,81,30,288,120,72,50.25,9,4,33,19,8.25,6.25,,,,,,,,,,,,,30,30,30,30,30,30,6,6,6,6,6,6
Lets Kill Wards Wife,5000000,0,5.4,21,0,,09/01/2015,82,78,21,276,105,55.2,39.6,10,3,41,23,8.2,6.4,56,21,56,21,56,40,9,5,9,5,9,7,56,21,56,21,56,40,9,5,9,5,9,7
Leviathan,25000000,15704614,5.8,92,0,,25/12/2014,140,91,5,378,160,75.6,55.4,9,1,36,8,9,7.5,25,25,25,25,25,25,8,8,8,8,8,8,89,74,178,148,89,83,9,8,18,16,9,9
Lil Quinquin,0,0,7.4,79,0,,02/01/2015,200,79,79,395,395,79,79,8,8,40,40,8,8,,,,,,,,,,,,,83,43,83,43,83,68,9,6,9,6,9,7
Life,58000000,30180466,6.7,59,12501936,R,04/12/2015,111,88,20,331,157,82.75,62.5,9,2,36,18,9,7.5,75,41,75,41,75,56,7,4,7,4,7,6,78,41,151,82,75.5,58.5,9,5,18,10,9,8
Life After Beth,2400000,80315,5.6,50,15843,R,15/08/2014,89,85,11,311,113,77.75,54.75,9,2,35,13,8.75,6.5,69,50,69,50,69,60,7,5,7,5,7,6,69,50,69,50,69,60,7,5,7,5,7,6
Life of Crime,12000000,261695,5.8,60,131422,R,29/08/2014,98,86,18,328,84,82,51.5,9,1,35,11,8.75,6.75,62,60,62,60,62,61,8,7,8,7,8,8,85,37,147,97,73.5,62,9,2,17,9,8.5,7.5
Life on the Line,12000000,0,5.1,24,0,R,18/11/2016,97,94,5,346,79,69.2,41.6,10,1,46,16,9.2,7.4,43,20,43,20,43,29,6,5,6,5,6,6,24,24,48,48,24,24,5,5,10,10,5,5
Life Partners,0,7563,6.2,57,2665,R,05/12/2014,93,83,23,333,180,66.6,50,9,3,40,23,8,6.2,57,57,57,57,57,57,6,6,6,6,6,6,57,57,114,114,57,57,6,6,12,12,6,6
"Life, Animated",0,244031,7.5,75,21070,PG,01/07/2016,89,75,24,300,249,75,68.25,9,5,36,32,9,8.75,77,75,77,75,77,76,9,8,9,8,9,9,75,75,75,75,75,75,9,9,9,9,9,9
Lights Out,4900000,67235683,6.4,58,21688103,PG-13,22/07/2016,81,81,19,278,132,69.5,49.75,9,2,33,16,8.25,6.25,62,58,62,58,62,60,7,7,7,7,7,7,81,35,143,93,71.5,57.5,8,5,15,12,7.5,7
"Like Sunday, Like Rain",0,27623,6.9,43,4975,R,13/03/2015,104,68,21,220,106,55,42.75,9,4,36,20,9,7.25,94,34,94,34,94,56,9,3,9,3,9,8,94,34,94,34,94,56,9,3,9,3,9,8
Lilting,0,21068,7.2,61,1567,,26/09/2014,91,93,17,358,224,71.6,59,9,3,37,26,7.4,6.6,61,61,61,61,61,61,6,6,6,6,6,6,61,61,61,61,61,61,6,6,6,6,6,6
Lion,12000000,51694854,8.1,69,123360,PG-13,25/11/2016,118,69,49,345,325,69,67,8,8,40,40,8,8,87,87,87,87,87,87,7,7,7,7,7,7,69,26,138,95,69,61,8,4,16,12,8,8
Listen Up Philip,0,137600,6.3,76,23284,,17/10/2014,108,88,12,405,127,81,55.2,9,3,43,22,8.6,6.8,77,32,77,32,77,61,7,5,7,5,7,6,77,32,77,32,77,61,7,5,7,5,7,6
Little Accidents,0,0,5.8,56,0,,16/01/2015,105,83,18,350,199,70,55,9,3,36,23,7.2,6.2,56,56,56,56,56,56,5,5,5,5,5,5,56,56,56,56,56,56,5,5,5,5,5,5
Little Boy,20000000,6420319,7.4,30,2750356,PG-13,24/04/2015,106,84,8,395,82,79,52,10,1,46,12,9.2,7,47,30,47,30,47,39,8,6,8,6,8,8,47,30,77,60,38.5,34.5,8,6,14,12,7,7
Little Men,2000000,702191,6.8,86,30368,PG,05/08/2016,85,88,42,339,255,84.75,74,8,5,31,25,7.75,7.25,86,65,86,65,86,77,9,7,9,7,9,8,86,26,172,91,86,71.5,9,6,17,13,8.5,8
Little Sister,0,0,6.3,73,0,,14/10/2016,91,77,10,371,192,74.2,59.2,9,2,42,21,8.4,6.6,73,55,73,55,73,66,6,5,6,5,6,6,73,55,146,110,73,66,6,5,12,10,6,6
Live by Night,108000000,10377558,6.4,49,33000,R,25/12/2016,129,86,18,405,182,81,59.6,9,1,44,17,8.8,7.2,86,18,86,18,86,52,9,1,9,1,9,7,86,18,170,67,85,59.5,9,1,18,8,9,7.5
Lo and Behold: Reveries of the Connected World,0,592404,7.1,76,114273,PG-13,19/08/2016,98,92,32,329,212,82.25,68.5,9,5,31,26,7.75,7.25,92,32,92,32,92,66,9,6,9,6,9,7,,,,,,,,,,,,
Locke,0,1361423,7.1,81,81006,R,25/04/2014,85,94,31,419,186,83.8,62,9,4,42,27,8.4,7.2,82,30,82,30,82,57,9,4,9,4,9,7,82,30,82,30,82,57,9,4,9,4,9,7
London Has Fallen,60000000,62401264,5.9,28,21635601,R,04/03/2016,99,90,16,386,145,77.2,55.8,9,4,41,23,8.2,7,57,28,57,28,57,43,5,4,5,4,5,4,41,28,82,56,41,35,6,5,12,10,6,6
London Road,0,0,5.3,71,0,,09/09/2016,91,83,50,307,224,76.75,66.75,8,6,32,27,8,7.75,71,53,71,53,71,62,8,7,8,7,8,8,71,71,71,71,71,71,8,8,8,8,8,8
Lost in the Sun,0,0,6,34,0,,06/11/2015,95,64,14,234,113,58.5,42.75,9,3,33,19,8.25,6.5,34,34,34,34,34,34,8,8,8,8,8,8,34,34,34,34,34,34,8,8,8,8,8,8
Lost River,2000000,43282,5.8,42,20828,R,10/04/2015,95,88,24,385,176,77,53.8,9,1,43,21,8.6,6.8,93,37,93,37,93,62,9,6,9,6,9,8,93,37,93,37,93,62,9,6,9,6,9,8
Louder Than Bombs,11000000,161789,6.6,70,24259,R,08/04/2016,109,95,14,434,185,86.8,61.4,10,2,44,20,8.8,7,84,70,84,70,84,79,8,7,8,7,8,8,84,70,168,140,84,79,8,7,16,14,8,8
Love,3000000,0,6,51,0,,30/10/2015,135,67,30,271,234,54.2,51,8,4,28,24,5.6,5.4,69,51,69,51,69,57,8,5,8,5,8,7,69,51,69,51,69,57,8,5,8,5,8,7
Love & Friendship,3000000,14013564,6.5,87,133513,PG,13/05/2016,92,87,23,1392,780,87,66.5,9,3,124,76,7.75,6.75,87,67,348,268,87,76,10,6,40,24,10,7,87,67,348,268,87,76,10,6,40,24,10,7
Love & Friendship,3000000,14013564,6.5,87,133513,PG,13/05/2016,92,87,23,1392,780,87,66.5,9,3,124,76,7.75,6.75,87,67,348,268,87,76,10,6,40,24,10,7,87,67,348,268,87,76,10,6,40,24,10,7
Love & Mercy,10000000,12547189,7.4,80,2122177,PG-13,05/06/2015,121,96,12,445,110,89,54.6,10,2,46,17,9.2,6.8,96,16,96,16,96,72,9,5,9,5,9,8,83,41,163,124,81.5,74,10,2,18,11,9,8.5
Love Is Strange,0,2252580,6.7,82,117276,R,22/08/2014,94,86,17,417,169,83.4,60.6,9,3,42,25,8.4,7.2,86,65,86,65,86,77,9,7,9,7,9,8,86,26,172,91,86,71.5,9,6,17,13,8.5,8
Love the Coopers,17000000,26284475,5.7,31,8317545,PG-13,13/11/2015,107,100,14,430,118,86,53.4,10,1,46,16,9.2,6.8,65,26,65,26,65,43,8,3,8,3,8,7,58,39,58,39,58,46,10,7,10,7,10,9
"Love, Rosie",0,14893,7.2,44,14893,R,06/02/2015,102,76,25,322,185,64.4,49.4,9,4,39,26,7.8,6.4,,,,,,,,,,,,,76,39,120,83,60,51,10,7,18,14,9,8.5
Lovesick,0,0,8.1,31,0,,06/02/2015,100,94,28,292,170,73,57,9,4,27,24,6.75,6.5,,,,,,,,,,,,,,,,,,,,,,,,
Loving,0,0,5.1,79,0,,04/11/2016,123,75,41,130,96,65,57.5,8,6,8,6,8,7,,,,,,,,,,,,,,,,,,,,,,,,
Low Down,0,44500,6.1,58,10500,R,24/10/2014,114,93,14,350,73,87.5,55,10,2,37,12,9.25,7,58,38,58,38,58,48,7,5,7,5,7,7,58,14,116,72,58,49,7,5,14,12,7,7
Lucky Them,0,32853,6.1,65,3728,R,30/05/2014,97,94,17,338,86,84.5,53,10,1,36,8,9,7,72,47,72,47,72,62,8,6,8,6,8,6,65,25,130,90,65,56.5,6,3,12,9,6,6
Lucy,40000000,126546825,6.4,61,43899340,R,25/07/2014,89,90,18,329,131,82.25,60.75,9,1,36,15,9,7.25,82,25,82,25,82,51,10,3,10,3,10,7,82,25,82,25,82,51,10,3,10,3,10,7
ma ma,0,46476,6.4,31,9466,R,20/05/2016,111,88,29,224,122,56,41.75,9,4,27,19,6.75,6,65,31,65,31,65,51,7,5,7,5,7,7,65,31,65,31,65,51,7,5,7,5,7,7
Macbeth,15000000,0,6.7,71,0,R,04/12/2015,113,96,32,412,243,82.4,67.4,9,2,41,25,8.2,7.2,71,36,71,36,71,58,7,6,7,6,7,7,85,15,156,45,78,53.5,9,2,16,7,8,7
Mad Max: Fury Road,150000000,153629485,8.1,90,44440000,R,15/05/2015,120,94,16,454,183,90.8,61.6,9,1,45,20,9,7.2,90,38,90,38,90,70,9,6,9,6,9,7,90,34,180,72,90,63.5,9,5,18,11,9,7.5
Madame Bovary,0,0,5.7,52,0,R,12/06/2015,118,86,20,394,162,78.8,55.8,10,3,44,19,8.8,6.6,69,52,69,52,69,61,6,4,6,4,6,6,65,27,117,79,58.5,50,8,4,12,8,6,5
Maggie,8500000,131175,5.6,52,131175,PG-13,08/05/2015,95,84,12,402,105,80.4,50.2,10,1,44,15,8.8,6.8,52,52,52,52,52,52,6,6,6,6,6,6,52,52,52,52,52,52,6,6,6,6,6,6
Maggies Plan,0,3351230,6.2,76,63308,R,20/05/2016,98,83,36,304,242,76,69.5,10,4,31,21,7.75,6.5,77,49,77,49,77,66,7,6,7,6,7,7,77,49,153,125,76.5,71,7,6,13,12,6.5,6.5
Magic in the Moonlight,16800000,10506939,6.6,54,412095,PG-13,25/07/2014,97,88,37,304,241,60.8,54,9,5,37,32,7.4,7,92,32,92,32,92,63,9,6,9,6,9,8,92,32,92,32,92,63,9,6,9,6,9,8
Magic Mike XXL,14800000,66009973,5.7,60,11600000,R,01/07/2015,115,83,26,342,206,68.4,55,9,4,36,26,7.2,6.4,,,,,,,,,,,,,,,,,,,,,,,,
Maidan,0,0,6.6,86,0,,12/12/2014,134,,,,,,,,,,,,,86,70,86,70,86,79,8,6,8,6,8,7,,,,,,,,,,,,
Maidentrip,0,67705,7.6,70,1622,,17/01/2014,82,70,70,70,70,70,70,6,6,6,6,6,6,70,70,70,70,70,70,6,6,6,6,6,6,,,,,,,,,,,,
Make Your Move,15000000,122293,5.7,40,81172,PG-13,18/04/2014,110,75,30,174,101,58,42.6667,9,2,21,9,7,5.6667,53,40,53,40,53,46,8,5,8,5,8,6,53,40,53,40,53,46,8,5,8,5,8,6
Maleficent,180000000,241407328,7,56,69431298,PG,30/05/2014,97,94,18,420,149,84,58.4,10,2,44,22,8.8,7.4,56,56,56,56,56,56,7,7,7,7,7,7,95,34,168,90,84,66,9,6,18,13,9,7.5
Man Down,0,0,5.8,27,0,R,02/12/2016,92,87,23,380,130,76,49,10,1,43,17,8.6,6.4,67,27,67,27,67,49,9,4,9,4,9,6,27,27,54,54,27,27,5,5,10,10,5,5
Man Up,0,0,6.8,69,0,R,13/11/2015,88,79,30,293,218,73.25,62.25,9,4,31,23,7.75,6.5,69,44,69,44,69,57,7,4,7,4,7,7,,,,,,,,,,,,
Manakamana,0,0,6.7,86,0,,18/04/2014,118,,,,,,,,,,,,,86,66,172,152,86,81,5,5,10,10,5,5,,,,,,,,,,,,
Manchester by the Sea,8500000,47695120,7.9,96,256498,R,18/11/2016,137,96,20,480,307,96,80.4,9,5,41,32,8.2,7.6,96,36,96,36,96,64,9,5,9,5,9,8,96,36,96,36,96,64,9,5,9,5,9,8
Manglehorn,4000000,132075,5.6,56,13000,PG-13,19/06/2015,97,100,17,399,141,79.8,56,9,1,41,15,8.2,6.6,82,30,82,30,82,61,8,4,8,4,8,7,,,,,,,,,,,,
Manny,0,0,7.2,35,0,PG-13,23/01/2015,88,93,26,128,61,64,45,9,4,14,9,7,6,83,35,118,70,59,51,10,3,15,8,7.5,6.5,,,,,,,,,,,,
Manuscripts Dont Burn,0,0,7.1,88,0,,13/06/2014,125,,,,,,,,,,,,,88,74,88,74,88,81,6,5,6,5,6,6,88,74,88,74,88,81,6,5,6,5,6,6
Maps to the Stars,15000000,347648,6.2,67,143422,R,27/02/2015,111,90,19,331,142,82.75,61.5,10,3,34,17,8.5,6.75,86,25,86,25,86,66,9,2,9,2,9,7,67,67,67,67,67,67,6,6,6,6,6,6
Marauders,15000000,0,5.5,42,0,R,01/07/2016,107,94,17,396,135,79.2,46.2,10,1,47,12,9.4,6.4,53,25,53,25,53,37,10,3,10,3,10,7,60,16,105,58,52.5,42.5,8,3,14,8,7,6.5
Marguerite,0,496161,7,76,21723,R,11/03/2016,129,88,52,402,323,80.4,72.4,9,2,40,29,8,7,76,51,76,51,76,67,7,6,7,6,7,7,86,37,162,88,81,66,9,4,16,10,8,7.5
Martyrs,6500000,0,7.1,22,0,R,22/01/2016,86,83,37,178,163,59.3333,56,8,6,20,19,6.6667,6.6667,52,22,52,22,52,37,6,4,6,4,6,6,52,22,52,22,52,37,6,4,6,4,6,6
Masterminds,25000000,17356894,5.8,47,6541205,PG-13,30/09/2016,95,90,18,384,144,76.8,52.4,10,1,43,15,8.6,6.6,80,28,80,28,80,50,8,5,8,5,8,7,57,47,108,94,54,50.5,8,5,14,10,7,6
Match,0,28041,6.7,62,4355,R,14/01/2015,90,84,12,239,51,79.6667,47.3333,9,2,27,7,9,7,71,50,71,50,71,61,7,6,7,6,7,6,71,50,71,50,71,61,7,6,7,6,7,6
Matt Shepard Is a Friend of Mine,0,0,7.6,75,0,,06/02/2015,89,75,75,75,75,75,75,8,8,8,8,8,8,75,75,75,75,75,75,8,8,8,8,8,8,75,75,75,75,75,75,8,8,8,8,8,8
Max,20000000,42652003,6.8,47,12155254,PG,26/06/2015,111,94,11,262,84,65.5,45.25,8,1,30,16,7.5,6.75,74,33,74,33,74,49,9,3,9,3,9,7,74,5,121,38,60.5,39,9,1,15,4,7.5,6.5
Max Steel,10000000,3771397,4.6,22,2182216,PG-13,14/10/2016,92,81,19,272,107,54.4,37.4,10,2,35,10,7,5,24,22,24,22,24,23,9,2,9,2,9,9,77,22,77,22,77,51,9,2,9,2,9,7
Maya the Bee Movie,0,0,6,49,0,G,01/05/2015,89,90,25,411,155,82.2,58.2,10,3,46,15,9.2,7,49,49,49,49,49,49,3,3,3,3,3,3,,,,,,,,,,,,
Maze Runner: The Scorch Trials,61000000,81687587,6.3,43,30316510,PG-13,18/09/2015,132,70,22,319,172,63.8,49.4,8,3,37,27,7.4,7,57,33,57,33,57,44,7,3,7,3,7,6,57,27,114,70,57,45,7,3,14,9,7,6.5
Me and Earl and the Dying Girl,8000000,6743776,7.8,74,364039,PG-13,12/06/2015,105,86,21,390,167,78,55.4,10,4,42,25,8.4,6.8,74,47,74,47,74,61,8,7,8,7,8,8,74,74,148,148,74,74,8,8,16,16,8,8
Me Before You,20000000,56228651,7.4,51,18723269,PG-13,03/06/2016,110,76,31,301,206,60.2,51.4,9,4,38,29,7.6,6.8,,,,,,,,,,,,,,,,,,,,,,,,
Meadowland,0,0,5.8,67,0,R,16/10/2015,105,92,16,424,132,84.8,54.6,9,1,43,18,8.6,6.8,67,67,67,67,67,67,7,7,7,7,7,7,67,67,67,67,67,67,7,7,7,7,7,7
Mechanic: Resurrection,40000000,21203260,5.6,38,7456525,R,26/08/2016,98,93,15,342,111,85.5,52.5,9,2,35,13,8.75,6.75,,,,,,,,,,,,,38,38,38,38,38,38,5,5,5,5,5,5
Mediterranea,0,5846,6.5,77,5846,,20/11/2015,107,77,66,374,363,74.8,73.8,8,8,32,32,8,8,77,66,77,66,77,72,8,8,8,8,8,8,77,66,77,66,77,72,8,8,8,8,8,8
Meet Me in Montenegro,0,7000,6,51,1000,,10/07/2015,90,81,28,325,232,65,54.8,9,2,45,32,9,8.6,64,51,115,102,57.5,54.5,9,7,18,16,9,9,64,51,115,102,57.5,54.5,9,7,18,16,9,9
Meet the Blacks,900000,9093856,6,26,4055940,R,01/04/2016,94,73,11,258,125,64.5,46.75,9,1,25,8,8.3333,6.6667,,,,,,,,,,,,,26,26,26,26,26,26,7,7,7,7,7,7
Meet the Mormons,0,5876812,7,29,2509663,PG,10/10/2014,78,29,29,145,145,29,29,7,7,35,35,7,7,52,29,52,29,52,41,8,7,8,7,8,8,,,,,,,,,,,,
Meet the Patels,0,1691439,7.2,70,72180,PG,11/09/2015,88,70,31,326,287,65.2,62,8,3,40,33,8,7.6,70,31,140,101,70,62,8,3,16,11,8,7,87,54,167,120,83.5,73,8,1,16,7,8,7.5
"Men, Women & Children",16000000,461162,6.7,38,47553,R,01/10/2014,119,93,9,427,67,85.4,48.4,9,1,45,14,9,6.6,88,38,88,38,88,60,9,5,9,5,9,7,88,38,151,76,75.5,55.5,9,5,18,10,9,6.5
Merchants of Doubt,0,192400,7.7,70,20300,PG-13,06/03/2015,96,76,70,356,356,71.2,71.2,8,8,40,40,8,8,80,70,80,70,80,76,9,8,9,8,9,8,80,70,80,70,80,76,9,8,9,8,9,8
MI-5,0,0,6.2,47,0,R,04/12/2015,104,73,26,250,121,62.5,47.5,9,2,31,17,7.75,6.25,63,47,63,47,63,55,7,6,7,6,7,7,82,73,82,73,82,78,8,7,8,7,8,7
Mia Madre,7000000,301664,6.8,70,34098,R,26/08/2016,106,91,18,374,260,74.8,64.8,9,3,38,27,7.6,6.4,73,51,73,51,73,65,8,6,8,6,8,6,75,51,148,121,74,69,8,6,14,12,7,6
Middle School: The Worst Years of My Life,8500000,19985196,6.1,51,6878437,PG,07/10/2016,92,72,14,72,14,72,42,10,5,10,5,10,6,51,18,51,18,51,39,6,3,6,3,6,6,57,47,108,94,54,50.5,8,5,14,10,7,6
Midnight Special,18000000,3707794,6.7,76,190012,PG-13,18/03/2016,112,95,16,438,163,87.6,61.2,10,4,44,22,8.8,7,85,55,85,55,85,75,8,7,8,7,8,8,85,55,85,55,85,75,8,7,8,7,8,8
Mike and Dave Need Wedding Dates,33000000,46007113,6,51,16628170,R,08/07/2016,98,83,20,237,71,79,53,9,3,25,11,8.3333,6,70,38,70,38,70,54,8,6,8,6,8,8,68,30,68,30,68,53,7,4,7,4,7,6
Miles Ahead,0,2610719,6.4,64,114530,R,01/04/2016,100,85,27,307,130,76.75,57,10,1,36,13,9,6.75,85,32,85,32,85,61,10,4,10,4,10,7,85,30,156,62,78,58,10,4,17,8,8.5,6.5
Million Dollar Arm,25000000,36447959,7,56,10515659,PG,16/05/2014,124,86,33,277,201,69.25,59.5,8,4,30,25,7.5,7,70,41,70,41,70,58,8,7,8,7,8,7,66,66,66,66,66,66,,,,,,
Minions,74000000,336029560,6.4,56,115200000,PG,10/07/2015,91,96,17,360,102,90,56.25,10,2,36,15,9,7,72,46,128,95,64,55,8,6,14,12,7,6.5,65,41,65,41,65,56,7,5,7,5,7,6
Miracles from Heaven,13000000,61693523,7,44,14812393,PG,16/03/2016,109,84,11,259,153,64.75,52,9,3,30,20,7.5,6.75,59,44,59,44,59,51,8,5,8,5,8,6,58,58,58,58,58,58,9,7,9,7,9,9
Misconduct,11000000,0,5.3,24,0,R,05/02/2016,106,100,14,391,137,78.2,51.2,10,1,45,14,9,6.8,49,12,49,12,49,30,6,3,6,3,6,5,24,24,48,48,24,24,5,5,10,10,5,5
Misery Loves Comedy,0,5300,6.2,51,5300,,24/04/2015,94,86,27,337,167,67.4,51.8,10,4,43,23,8.6,7,,,,,,,,,,,,,,,,,,,,,,,,
Miss Julie,0,0,5.6,56,0,PG-13,05/12/2014,129,95,25,325,157,81.25,60,9,1,33,17,8.25,7,80,56,80,56,80,71,9,7,9,7,9,8,80,46,136,102,68,61,9,7,17,14,8.5,8
Miss Sloane,13000000,3439171,7.4,64,59797,R,25/11/2016,132,98,25,435,196,87,62.6,9,1,43,21,8.6,7,87,36,87,36,87,62,8,5,8,5,8,7,64,64,64,64,64,64,7,7,7,7,7,7
Miss You Already,0,1162653,6.8,59,552503,PG-13,06/11/2015,112,91,13,396,163,79.2,58,10,3,45,26,9,7.6,70,29,70,29,70,56,9,4,9,4,9,8,,,,,,,,,,,,
Mission: Impossible - Rogue Nation,150000000,195000874,7.4,75,55520089,PG-13,31/07/2015,131,94,12,434,165,86.8,64.4,9,1,45,22,9,7.6,77,34,77,34,77,56,9,2,9,2,9,6,77,34,154,68,77,56,9,2,18,4,9,6
Mississippi Grind,0,129747,6.3,77,12434,R,25/09/2015,108,83,25,391,180,78.2,60.6,9,2,42,25,8.4,7.4,85,60,170,120,85,73,8,7,16,14,8,8,85,60,170,120,85,73,8,7,16,14,8,8
Mistress America,0,2461121,6.7,75,234275,R,14/08/2015,84,85,22,309,166,77.25,62,9,3,31,18,7.75,6.75,83,45,83,45,83,71,8,5,8,5,8,7,83,36,166,81,83,68.5,9,4,17,9,8.5,6.5
Mojave,0,0,5.2,41,0,R,22/01/2016,93,93,25,322,181,64.4,47.6,9,3,31,19,6.2,5.2,85,41,85,41,85,56,8,4,8,4,8,7,85,41,85,41,85,56,8,4,8,4,8,7
Momentum,0,0,5.5,18,0,,16/10/2015,96,86,18,328,90,65.6,44.4,10,1,42,13,8.4,6,18,18,18,18,18,18,3,3,3,3,3,3,42,18,84,36,42,30,8,3,16,6,8,5
Mommy,0,3492754,8.1,74,22204,R,23/01/2015,139,83,36,388,280,77.6,66.6,9,5,45,34,9,8.8,83,48,83,48,83,68,9,5,9,5,9,8,83,48,83,48,83,68,9,5,9,5,9,8
Moms Night Out,5000000,10429707,5.4,25,4311083,PG,09/05/2014,98,94,14,311,109,62.2,41.2,10,4,45,24,9,7.4,57,25,114,50,57,38,6,5,12,10,6,6,57,25,93,50,46.5,34.5,6,5,11,10,5.5,5.5
Money Monster,27000000,41008532,6.5,55,14788157,R,13/05/2016,98,96,18,372,186,74.4,58,9,2,43,24,8.6,7.2,93,25,93,25,93,63,9,5,9,5,9,7,75,43,136,98,68,59,10,6,18,13,9,7.5
Mood Indigo,19000000,303012,6.5,54,26511,,18/07/2014,94,83,37,391,236,78.2,63,10,4,41,26,8.2,7,89,39,89,39,89,64,9,6,9,6,9,7,89,39,147,93,73.5,60,9,6,16,12,8,7
Moonlight,1500000,27850912,7.5,99,402075,R,21/10/2016,111,99,28,495,373,99,87.2,8,4,37,31,7.4,7,99,63,99,63,99,81,7,6,7,6,7,7,99,63,99,63,99,81,7,6,7,6,7,7
Moonwalkers,0,0,6.1,39,0,R,15/01/2016,107,87,14,367,139,73.4,50.2,10,1,41,23,8.2,6.8,39,39,39,39,39,39,6,6,6,6,6,6,67,23,106,62,53,42.5,10,5,16,11,8,6.5
Morgan,8000000,3912052,5.8,48,504908,R,02/09/2016,92,87,26,367,187,73.4,56,10,3,38,25,7.6,6.6,81,48,81,48,81,65,8,6,8,6,8,8,48,37,48,37,48,43,6,6,6,6,6,6
Morris from America,0,88932,6.2,75,15673,R,19/08/2016,91,82,7,384,276,76.8,68.8,10,1,39,29,7.8,7,75,54,75,54,75,67,7,5,7,5,7,7,75,54,75,54,75,67,7,5,7,5,7,7
Mortdecai,60000000,7605668,5.5,27,4200586,R,23/01/2015,107,92,18,407,122,81.4,54.6,9,1,43,10,8.6,6.6,73,27,73,27,73,58,9,2,9,2,9,7,37,27,64,54,32,30,7,3,10,6,5,4.5
