title,budget,gross,imdb_score,meta_score,opening_weekend,rated,release_date,run_time,max_meta_actor_score,min_meta_actor_score,sum_max_meta_actor_score,sum_min_meta_actor_score,avg_meta_high_actor_score,avg_meta_avg_actor_score,max_user_actor_score,min_user_actor_score,sum_max_user_actor_score,sum_min_user_actor_score,avg_user_high_actor_score,avg_user_median_actor_score,max_meta_director_score,min_meta_director_score,sum_max_meta_director_score,sum_min_meta_director_score,avg_meta_high_director_score,avg_meta_avg_director_score,max_user_director_score,min_user_director_score,sum_max_user_director_score,sum_min_user_director_score,avg_user_high_director_score,avg_user_median_director_score,max_meta_writer_score,min_meta_writer_score,sum_max_meta_writer_score,sum_min_meta_writer_score,avg_meta_high_writer_score,avg_meta_avg_writer_score,max_user_writer_score,min_user_writer_score,sum_max_user_writer_score,sum_min_user_writer_score,avg_user_high_writer_score,avg_user_median_writer_score
Dragon Blade,65000000,72413,6.1,41,12102,R,04/09/2015,127,90,1,337,129,67.4,48.4,10,1,40,17,8,6.6,70,21,70,21,70,47,8,3,8,3,8,5,70,21,70,21,70,47,8,3,8,3,8,5
Drive Hard,12000000,0,4.3,29,0,,03/10/2014,92,90,16,249,93,62.25,44,10,2,30,11,7.5,5.5,35,29,35,29,35,32,7,3,7,3,7,6,29,29,58,58,29,29,3,3,6,6,3,3
Drones,0,316842,6.4,47,1005,R,27/06/2014,82,100,12,333,115,83.25,55.25,9,2,32,17,8,6.5,90,35,90,35,90,59,9,5,9,5,9,7,90,35,90,35,90,59,9,5,9,5,9,7
Drunk Stoned Brilliant Dead: The Story of the National Lampoon,0,62684,7.1,74,6842,,25/09/2015,98,86,19,172,49,86,58,10,2,19,6,9.5,7,81,44,81,44,81,68,10,7,10,7,10,9,86,44,167,95,83.5,69.5,10,2,20,9,10,8
Dumb and Dumber To,35000000,86208010,5.7,36,38053000,PG-13,14/11/2014,109,90,27,174,57,87,57,9,4,18,9,9,7,69,18,138,37,69,46,9,2,18,4,9,6,95,31,158,62,79,50,10,5,20,10,10,7
Dying of the Light,5000000,0,4.4,31,0,R,05/12/2014,94,100,12,360,104,90,57,10,2,35,11,8.75,6.75,93,31,93,31,93,63,9,3,9,3,9,7,93,31,93,31,93,63,9,3,9,3,9,7
Earth to Echo,13000000,38916903,5.8,53,8364658,PG,02/07/2014,91,72,40,238,199,59.5,54.5,9,5,26,20,6.5,6.25,53,40,53,40,53,47,6,5,6,5,6,5,53,53,106,106,53,53,5,5,10,10,5,5
East Side Sushi,0,0,7.1,70,0,PG,18/09/2015,100,81,54,354,334,70.8,69,8,5,40,36,8,8,77,70,77,70,77,74,9,8,9,8,9,8,77,70,77,70,77,74,9,8,9,8,9,8
Eastern Boys,2300000,16173,6.9,74,5726,,27/02/2015,128,87,21,383,317,76.6,71.8,8,5,36,33,7.2,7,92,42,92,42,92,73,7,7,7,7,7,7,92,35,170,77,85,69,10,6,17,13,8.5,7
Easy Money: Hard to Kill,0,0,6.2,57,0,,14/02/2014,99,95,41,240,168,80,66.6667,9,4,26,17,8.6667,7.3333,57,28,57,28,57,43,5,4,5,4,5,4,75,57,132,114,66,61.5,6,4,10,8,5,5
Echoes of War,0,0,6,41,0,R,15/05/2015,100,85,17,379,125,75.8,50.6,9,1,43,19,8.6,6.6,41,41,41,41,41,41,5,5,5,5,5,5,41,41,82,82,41,41,5,5,10,10,5,5
